Verified,Performance Title,Performance title in Japanese,Date,Time,Venue concatenated,Venue address,Latitude,Longtitude,Venue capacity,Genres concatenated,Performance types concatenated,"English name of performing troupes, performers concatenated","Kanji name of performing troupes, performers concatenated",Organizers/Sponsors concatenated,Org/Spon type 1,Organizers concatenated,org/spon type 2,Sponsors concatenated,org/spon type 3,Festival
,The Heart of Japan,,17/9/2016,19:30- ,"National University of Singapore (NUS), UCC Theatre","50 Kent Ridge Cres,  ,  , Singapore 119279",1.301776,103.772112, ,Traditional music; Nihon Buyo,Concert,Min-On Concert Association (Japan); NUS Symphony Orchestra; NUS Chinese Orchestra;  ;  ;  ;  ;  ;  , ;  ;  ,Min-On Concert Association; National University of Singapore (NUS);  ;  ;  ,, ;  ;  ;  ;  ;  ;  ;  ;  ;  ,, ;  ;  ;  ,,The 50th Anniversary of Singapore-Japan Diplomatic Relations (SJ50)
,The Heart of Japan,,18/9/2016, - ,"The Japanese Association, Singapore (JAS)","120 Adam Road,  ,  , Singapore 289899",1.33073,103.816112, ,Traditional music; Nihon Buyo,Concert,Min-On Concert Association (Japan); NUS Symphony Orchestra; NUS Chinese Orchestra;  ;  ;  ;  ;  ;  , ;  ;  ,Min-On Concert Association; National University of Singapore (NUS);  ;  ;  ,, ;  ;  ;  ;  ;  ;  ;  ;  ;  ,, ;  ;  ;  ,,The 50th Anniversary of Singapore-Japan Diplomatic Relations (SJ50)
,The Heart of Japan,,20/9/2016,19:00- ,"Esplanade – Theatres on the Bay, Outdoor Theatre","1 Esplanade Drive,  ,  , Singapore 38981",1.290205,103.855567, ,Traditional music; Nihon Buyo,Concert,Min-On Concert Association (Japan); NUS Symphony Orchestra; NUS Chinese Orchestra;  ;  ;  ;  ;  ;  , ;  ;  ,Min-On Concert Association; National University of Singapore (NUS);  ;  ;  ,, ;  ;  ;  ;  ;  ;  ;  ;  ;  ,, ;  ;  ;  ,,The 50th Anniversary of Singapore-Japan Diplomatic Relations (SJ50)
,The Heart of Japan,,20/9/2016,20:15- ,"Esplanade – Theatres on the Bay, Outdoor Theatre","1 Esplanade Drive,  ,  , Singapore 38981",1.290205,103.855567, ,Traditional music; Nihon Buyo,Concert,Min-On Concert Association (Japan); NUS Symphony Orchestra; NUS Chinese Orchestra;  ;  ;  ;  ;  ;  , ;  ;  ,Min-On Concert Association; National University of Singapore (NUS);  ;  ;  ,, ;  ;  ;  ;  ;  ;  ;  ;  ;  ,, ;  ;  ;  ,,The 50th Anniversary of Singapore-Japan Diplomatic Relations (SJ50)
,SG-JP Music Mix 2016: SJ50 Special Edition,,30/11/2016,19:30- ,"Victoria Theatre & Concert Hall, Victoria Concert Hall","11 Empress Place,  ,  , Singapore 179558",1.288585,103.851778, ,Gagaku; Contemporary Music,Concert,Tōgi Hideki; Sachiyo;  ;  ;  ;  ;  ;  , ;  ;  , ;  ;  ;  ;  ,, ;  ;  ;  ;  ;  ;  ;  ;  ;  ,,"Japanese Chamber of Commerce & Industry, Singapore (JCCI); Mitsubishi Electric; Bank of Tokyo-Mitsubishi UFG; Toyota Tsusho Asia Pacific Pte Ltd; Yakult; Kikkoman; Singapore Meidi-Ya Supermarket; Si Chuan Dou Hua Restaurant; All Nippon Airways (ANA); Orchard Hotel Singapore",,
,Speaking Drums,,21/5/2016,15:00- ,"Esplanade – Theatres on the Bay, Bay Room","1 Esplanade Drive,  ,  , Singapore 38981",1.290205,103.855567, ,Contemporary music,Workshop,Akira Kawasaki;  ;  ;  ;  ;  ;  ;  ;  , ;  ;  ,"Esplanade – Theatres on the Bay; Japanese Chamber of Commerce & Industry, Singapore (JCCI); LIXIL; Mitsubishi Corporation;  ",,Esplanade – Theatres on the Bay;  ;  ;  ;  ;  ;  ;  ;  ,,"Japanese Chamber of Commerce & Industry, Singapore (JCCI); LIXIL; Mitsubishi Corporation;  ;  ;  ;  ;  ;  ;  ",,Esplanade Presents | Super Japan - Japanese Festival of Arts
,Tokyo Jazz in Singapore,,14/5/2016,19:30- ,"Esplanade – Theatres on the Bay, Outdoor Theatre","1 Esplanade Drive,  ,  , Singapore 38981",1.290205,103.855567, ,Jazz,Concert,fox capture plan; ADAM at; PRIMITIVE ART ORCHESTRA;  ;  ;  ;  ;  ;  , ;  ;  ,"Esplanade – Theatres on the Bay; Tokyo Jazz Festival; Japanese Chamber of Commerce & Industry, Singapore (JCCI); LIXIL; Mitsubishi Corporation",,Esplanade – Theatres on the Bay; Tokyo Jazz Festival;  ;  ;  ;  ;  ;  ;  ;  ,,"Japanese Chamber of Commerce & Industry, Singapore (JCCI); LIXIL; Mitsubishi Corporation;  ;  ;  ;  ;  ;  ;  ",,Esplanade Presents | Super Japan - Japanese Festival of Arts
,Tokyo Jazz in Singapore,,15/5/2016,19:30- ,"Esplanade – Theatres on the Bay, Outdoor Theatre","1 Esplanade Drive,  ,  , Singapore 38981",1.290205,103.855567, ,Jazz,Concert,PRIMITIVE ART ORCHESTRA; fox capture plan; Schroeder-Headz;  ;  ;  ;  ;  ;  , ;  ;  ,"Esplanade – Theatres on the Bay; Tokyo Jazz Festival; Japanese Chamber of Commerce & Industry, Singapore (JCCI); LIXIL; Mitsubishi Corporation",,Esplanade – Theatres on the Bay; Tokyo Jazz Festival;  ;  ;  ;  ;  ;  ;  ;  ,,"Japanese Chamber of Commerce & Industry, Singapore (JCCI); LIXIL; Mitsubishi Corporation;  ;  ;  ;  ;  ;  ;  ",,Esplanade Presents | Super Japan - Japanese Festival of Arts
,Unclose,,25/6/2016,21:50,"Esplanade – Theatres on the Bay, Waterfront Carpark","2 Esplanade Drive, Singapore 38981",1.290205,103.855567,,Rock,Concert,Unclose;  ;  ;  ;  ;  ;  ;  ;  ,,Esplanade – Theatres on the Bay;  ;  ;  ;  ,,,,Ebenex,,Esplanade Presents | Baybeats
,Hiromi – The Trio Project featuring Anthony Jackson & Simon Phillips [cancelled due to personal reasons],,1/9/2016,19:30- ,"Esplanade – Theatres on the Bay, Concert Hall","1 Esplanade Drive,  ,  , Singapore 38981",1.290205,103.855567, ,Jazz,Concert,Hiromi;  ;  ;  ;  ;  ;  ;  ;  , ;  ;  ,Esplanade – Theatres on the Bay;  ;  ;  ;  ,, ;  ;  ;  ;  ;  ;  ;  ;  ;  ,,Café 21; Viz Branz;  ;  ;  ;  ;  ;  ;  ;  ,,Esplanade Presents | Mosaic Music Series
,Himiko: Memories of the Sun Goddess,,20/5/2016,19:30,"Esplanade – Theatres on the Bay, Concert Hall","1 Esplanade Drive, Singapore 38981",1.290205,103.855567,,Play,Theatre,Nakamura Kotaro (Kabuki actor); Kanno Yoshihiro (Conductor); Tsutsumi Tsuyoshi (Cello); Otani Yasuko (Violin);  ;  ;  ;  ;  ,,"The Esplanade Co Ltd (TECL); Suntory Hall; Japanese Chamber of Commerce & Industry, Singapore (JCCI); LIXIL; Mitsubishi Corporation; 3Top",,The Esplanade Co Ltd (TECL),,"Japanese Chamber of Commerce & Industry, Singapore (JCCI); LIXIL; Mitsubishi Corporation",,Esplanade Presents | Super Japan - Japanese Festival of Arts
,KODO & HIBIKIYA: Opening Taiko Concert,,13/5/2016,19:15,"Esplanade – Theatres on the Bay, Outdoor Theatre","1 Esplanade Drive, Singapore 38981",1.290205,103.855567,,Traditional music,Concert,KODO (JP); HIBIKIYA (SG);  ;  ;  ;  ;  ;  ;  ,,"The Esplanade Co Ltd (TECL); Suntory Hall; Japanese Chamber of Commerce & Industry, Singapore (JCCI); LIXIL; Mitsubishi Corporation; Canon; Softbank Telecom Singapore",,The Esplanade Co Ltd (TECL),,"Japanese Chamber of Commerce & Industry, Singapore (JCCI); LIXIL; Mitsubishi Corporation; Canon; Softbank Telecom Singapore",,The 50th Anniversary of Singapore-Japan Diplomatic Relations (SJ50)
,SJ50 Matsuri & Friendship Parade,,29/10/2016,Evening,Orchard Road,,,,,Nihon Buyo,Parade,Awa Odori dancers from Tokushima and Koenji;  ;  ;  ;  ;  ;  ;  ;  ,,"SJ50 Steering Committee (Embassy of Japan in Singapore); The Japanese Association, Singapore (JAS); Japanese Chamber of Commerce & Industry, Singapore (JCCI); Japan External Trade Organization (JETRO) Singapore; Japan National Tourism Organization, Singapore (JNTO); The Japan Council of Local Authorities for International Relations, Singapore (J.CLAIR Singapore); Japan Science and Technology Agency, Singapore Office (JST); The Japanese Cultural Society, Singapore (JCS); MUFG Bank; Japanese Chamber of Commerce & Industry, Singapore (JCCI); NHK World-Japan",,"SJ50 Steering Committee (Embassy of Japan in Singapore); The Japanese Association, Singapore (JAS); Japanese Chamber of Commerce & Industry, Singapore (JCCI); Japan External Trade Organization (JETRO) Singapore; Japan National Tourism Organization, Singapore (JNTO); The Japan Council of Local Authorities for International Relations, Singapore (J.CLAIR Singapore); Japan Science and Technology Agency, Singapore Office (JST); The Japanese Cultural Society, Singapore (JCS)",,"MUFG Bank; Japanese Chamber of Commerce & Industry, Singapore (JCCI); NHK World-Japan",,River Nights Festival 2016
,SJ50 Matsuri & Friendship Parade,,30/10/2016,Evening,Orchard Road,,,,,Nihon Buyo,Parade,Awa Odori dancers from Tokushima and Koenji;  ;  ;  ;  ;  ;  ;  ;  ,,"SJ50 Steering Committee (Embassy of Japan in Singapore); The Japanese Association, Singapore (JAS); Japanese Chamber of Commerce & Industry, Singapore (JCCI); Japan External Trade Organization (JETRO) Singapore; Japan National Tourism Organization, Singapore (JNTO); The Japan Council of Local Authorities for International Relations, Singapore (J.CLAIR Singapore); Japan Science and Technology Agency, Singapore Office (JST); The Japanese Cultural Society, Singapore (JCS); MUFG Bank; Japanese Chamber of Commerce & Industry, Singapore (JCCI); NHK World-Japan",,"SJ50 Steering Committee (Embassy of Japan in Singapore); The Japanese Association, Singapore (JAS); Japanese Chamber of Commerce & Industry, Singapore (JCCI); Japan External Trade Organization (JETRO) Singapore; Japan National Tourism Organization, Singapore (JNTO); The Japan Council of Local Authorities for International Relations, Singapore (J.CLAIR Singapore); Japan Science and Technology Agency, Singapore Office (JST); The Japanese Cultural Society, Singapore (JCS)",,"MUFG Bank; Japanese Chamber of Commerce & Industry, Singapore (JCCI); NHK World-Japan",,The 50th Anniversary of Singapore-Japan Diplomatic Relations (SJ50)
,Blue Note Tokyo All-Star Jazz Orchestra,,15/5/2016,19:30,"Esplanade – Theatres on the Bay, Concert Hall","1 Esplanade Drive, Singapore 38981",1.290205,103.855567,,Jazz,Concert,Blue Note Tokyo All-Star Jazz Orchestra; Toki Asako (JP Vocalist); Nathan Hartono (SG Vocalist);  ;  ;  ;  ;  ;  ,,"The Esplanade Co Ltd (TECL); Suntory Hall; Japanese Chamber of Commerce & Industry, Singapore (JCCI); LIXIL; Mitsubishi Corporation; Yamaha Music (Asia) Pte. Ltd.",,The Esplanade Co Ltd (TECL),,"Japanese Chamber of Commerce & Industry, Singapore (JCCI); LIXIL; Mitsubishi Corporation; Yamaha Music (Asia) Pte. Ltd.",,Esplanade Presents | Super Japan - Japanese Festival of Arts
,English Rakugo by Dr. Oshima Kimie,,18/2/2017,2:15PM,"The Japanese Association, Singapore (JAS), Auditorium","120 Adam Road, Singapore 289899",1.33073,103.816112,130,Rakugo,Theatre,Oshima Kimie;  ;  ;  ;  ;  ;  ;  ;  ,,"The Japanese Association, Singapore (JAS)",,"The Japanese Association, Singapore (JAS)",,,,The 50th Anniversary of Singapore-Japan Diplomatic Relations (SJ50)
,HIBIKI Ⅵ – TEN‧KO‧TEN 響Ⅵ – 天鼓TEN,,17/4/2017,19:30-21:30,"Esplanade – Theatres on the Bay, Recital Studio","1 Esplanade Drive, Singapore 38981",1.290205,103.855567,,Traditional music,Concert,TENKO (Singapore); DENGAKUZA (Japan);  ;  ;  ;  ;  ;  ;  ,,HIBIKIYA; The Esplanade Co Ltd (TECL),,HIBIKIYA; The Esplanade Co Ltd (TECL),,,,
,Esplanade Presents Free Performances: Jazz in July - CALMERA,,30/7/2017,20:45-21:30,"Esplanade – Theatres on the Bay, Outdoor Theatre","1 Esplanade Drive, Singapore 38981",1.290205,103.855567,,Jazz,Concert,CALMERA;  ;  ;  ;  ;  ;  ;  ;  ,,The Esplanade Co Ltd (TECL),,The Esplanade Co Ltd (TECL),,,,
,Esplanade Presents Free Performances: Jazz in July - CALMERA,,30/7/2017,19:30-20:00,"Esplanade – Theatres on the Bay, Outdoor Theatre","1 Esplanade Drive, Singapore 38981",1.290205,103.855567,,Jazz,Concert,CALMERA;  ;  ;  ;  ;  ;  ;  ;  ,,The Esplanade Co Ltd (TECL),,The Esplanade Co Ltd (TECL),,,,Esplanade Presents | Jazz in July
,Sound of Tradition in Our Contemporary Times,,31/8/2017,19:00-20:00,Japan Creative Centre (JCC),"4 Nassim Road, Singapore 258372",1.307507,103.826821,,Traditional music,Talk,Kawamura Kizan; TENKO;  ;  ;  ;  ;  ;  ;  ,,Japan Creative Centre (JCC); Salon de Royal from Kyoto; Hibikiya,,Japan Creative Centre (JCC); Salon de Royal from Kyoto,,,,Esplanade Presents | Jazz in July
,NUS FASS AS8 Opening Celebration: JAPAN's SPIRIT -oto-shirube- by Za Ondekoza,,15/9/2017,17:35-18:45,"National University of Singapore (NUS), AS8 Foyer","10 Kent Ridge Crescent, Singapore 119260",1.2962,103.77232,,Traditional music,Outdoor,Za Ondekoza;  ;  ;  ;  ;  ;  ;  ;  ,,"Association for Exchange and Promotion of Japanese Culture; Department of Japanese Studies, National University of Singapore (NUS); Centre for Language Studies, National University of Singapore (NUS); Agency for Cultural Affairs, Government of Japan; Faculty of Arts and Social Sciences, National University of Singapore (NUS)",,"Association for Exchange and Promotion of Japanese Culture; Department of Japanese Studies, National University of Singapore (NUS); Centre for Language Studies, National University of Singapore (NUS)",,"Agency for Cultural Affairs, Government of Japan; Faculty of Arts and Social Sciences, National University of Singapore (NUS)",,
,47th Japanese Cultural Festival,,16/9/2017,12:00-17:00,"School of the Arts (SOTA), Concert Hall","1 Zubir Said Drive, Singapore 227968",1.299365,103.848687,,,Others,"Dynamic Drum Team Ondekoza, Takachiho Yokagura Performing Troupe;  ;  ;  ;  ;  ;  ;  ;  ",,"The Japanese Cultural Society, Singapore (JCS); Embassy of Japan in Singapore; The Japanese Association, Singapore (JAS); Japanese Chamber of Commerce & Industry, Singapore (JCCI); JCCI Singapore Foundation",,"The Japanese Cultural Society, Singapore (JCS)",,"Embassy of Japan in Singapore; The Japanese Association, Singapore (JAS); Japanese Chamber of Commerce & Industry, Singapore (JCCI); JCCI Singapore Foundation",,
,Esplanade Presents | Free Performances: Crossing Borders - Minyo: Japanese Folk Song and Music,,23/9/2017,17:00-17:30,"Esplanade – Theatres on the Bay, Concourse","1 Esplanade Drive, Singapore 38981",1.290205,103.855567,,Traditional music,Concert,HIBIKIYA (Singapore); Jun’nosuke Uehara;  ;  ;  ;  ;  ;  ;  ,,The Esplanade Co Ltd (TECL),,The Esplanade Co Ltd (TECL),,,,
,Esplanade Presents | Free Performances: Crossing Borders - Minyo: Japanese Folk Song and Music,,23/9/2017,19:00-19:30,"Esplanade – Theatres on the Bay, Concourse","1 Esplanade Drive, Singapore 38981",1.290205,103.855567,,Traditional music,Concert,HIBIKIYA (Singapore); Jun’nosuke Uehara (Japan);  ;  ;  ;  ;  ;  ;  ,,The Esplanade Co Ltd (TECL),,The Esplanade Co Ltd (TECL),,,,Esplanade Presents | Free Performances: Crossing Borders
,Esplanade Presents | Free Performances: Crossing Borders - Minyo: Japanese Folk Song and Music,,23/9/2017,18:00-18:30,"Esplanade – Theatres on the Bay, Concourse","1 Esplanade Drive, Singapore 38981",1.290205,103.855567,,Traditional music,Concert,HIBIKIYA (Singapore); Jun’nosuke Uehara (Japan);  ;  ;  ;  ;  ;  ;  ,,The Esplanade Co Ltd (TECL),,The Esplanade Co Ltd (TECL),,,,Esplanade Presents | Free Performances: Crossing Borders
,An evening of laughter - Kyogen in contemporary time,,17/10/2017,19:00-20:30,Japan Creative Centre (JCC),"4 Nassim Road, Singapore 258372",1.307507,103.826821,,Kyogen,Talk,Shigeyama Doji; Shimada Hiromi;  ;  ;  ;  ;  ;  ;  ,,"Japan Creative Centre (JCC); National University of Singapore (NUS); Japanese Chamber of Commerce & Industry, Singapore (JCCI)",,Japan Creative Centre (JCC); National University of Singapore (NUS),,,,Esplanade Presents | Free Performances: Crossing Borders
,NINAGAWA Macbeth,,23/11/2017,19:30-22:15,"Esplanade – Theatres on the Bay, Theatre","1 Esplanade Drive, Singapore 38981",1.290205,103.855567,,Play,Theatre,Ninagawa Company;  ;  ;  ;  ;  ;  ;  ;  ,,The Esplanade Co Ltd (TECL); Saitama Arts Foundation; HoriPro Inc.; All Nippon Airways (ANA),,The Esplanade Co Ltd (TECL),,"Saitama Arts Foundation; HoriPro Inc.; All Nippon Airways (ANA); Mitsubishi Corporation; Japanese Chamber of Commerce & Industry, Singapore (JCCI);  ;  ;  ;  ",,
,NINAGAWA Macbeth,,24/11/2017,19:30-22:15,"Esplanade – Theatres on the Bay, Theatre","1 Esplanade Drive, Singapore 38981",1.290205,103.855567,,Play,Theatre,Ninagawa Company;  ;  ;  ;  ;  ;  ;  ;  ,,The Esplanade Co Ltd (TECL); Saitama Arts Foundation; HoriPro Inc.; All Nippon Airways (ANA),,The Esplanade Co Ltd (TECL),,"Saitama Arts Foundation; HoriPro Inc.; All Nippon Airways (ANA); Mitsubishi Corporation; Japanese Chamber of Commerce & Industry, Singapore (JCCI);  ;  ;  ;  ",,
,NINAGAWA Macbeth,,25/11/2017,14:00-16:45,"Esplanade – Theatres on the Bay, Theatre","1 Esplanade Drive, Singapore 38981",1.290205,103.855567,,Play,Theatre,Ninagawa Company;  ;  ;  ;  ;  ;  ;  ;  ,,The Esplanade Co Ltd (TECL); Saitama Arts Foundation; HoriPro Inc.; All Nippon Airways (ANA),,The Esplanade Co Ltd (TECL),,"Saitama Arts Foundation; HoriPro Inc.; All Nippon Airways (ANA); Mitsubishi Corporation; Japanese Chamber of Commerce & Industry, Singapore (JCCI);  ;  ;  ;  ",,
,STORY TIME: Smile On Everyone’s Face!,,26/11/2017,11:30-12:30,"Serangoon Public Library, Programme Zone","23 Serangoon Central, #04-82/83, NEX, Singapore 556083",1.35031,103.87292,,Kamishibai,Theatre,Mr. Nomarin (Noma Shigeyuki);  ;  ;  ;  ;  ;  ;  ;  ,,"Embassy of Japan in Singapore; Japan Creative Centre (JCC); The Japanese Association, Singapore (JAS); National Library Board (NLB)",,,,,,
,A Double Bill: The Steve McQueens x WONK (JP),,15/12/2017,20:00-22:20,"Esplanade – Theatres on the Bay, Annexe Studio","1 Esplanade Drive, Singapore 38981",1.290205,103.855567,Standing Room Only,Jazz; Soul,Concert,The Steve McQueens (Singapore); WONK (Japan);  ;  ;  ;  ;  ;  ;  ,,The Esplanade Co Ltd (TECL),,The Esplanade Co Ltd (TECL),,,,
,Kimono Canvas: A Visual Spectacle of Japan,,12/3/2017,19:00,JAPAN RAIL CAFE,"5 Wallich Street, #01-20, Guoco Tower, Singapore 78883",1.276581,103.846349,,Others,Talk,Hossan Leong;  ;  ;  ;  ;  ;  ;  ;  ,,"Japan National Tourism Organization, Singapore (JNTO)",,,,,,
,Shugo Tokumaru,,13/11/2017,20:30,"Esplanade – Theatres on the Bay, Annexe Studio","1 Esplanade Drive, Singapore 38981",1.290205,103.855567,,Others,Concert,Tokumaru Shugo;  ;  ;  ;  ;  ;  ;  ;  ,トクマルシューゴ; トクマルシューゴ,Esplanade – Theatres on the Bay,,,,,,Esplanade Presents | Mosaic Music Series
,Shakuhachi concert by Kawamura Kizan,,2/9/2017,14:00-16:00,"The Japanese Association, Singapore (JAS), Ballroom","120 Adam Road, Singapore 289899",1.33073,103.816112,,Traditional music,Concert,Kawamura Kizan;  ;  ;  ;  ;  ;  ;  ;  ,,Japan Creative Centre (JCC); Salon de Royal from Kyoto; Hibikiya;  ,,,,,,
,Music & Dance of Mythical Takachiho,,16/9/2017,17:00-18:30,"Isetan Scotts, Main Entrance","1 Scotts Road, Singapore 228208",1.30607,103.83177,,Kagura,Outdoor,Takachiho Yokagura troupe from Miyazaki prefecture;  ;  ;  ;  ;  ;  ;  ;  ,, ;  ,,,,,,Japanese Cultural Festival
,Music & Dance of Mythical Takachiho,,17/9/2017,12:00-13:00,"Our Tampines Hub (OTH), Central Plaza","1 Tampines Walk, Singapore 528523",1.35218,103.94059,,Kagura,Outdoor,Takachiho Yokagura troupe from Miyazaki prefecture;  ;  ;  ;  ;  ;  ;  ;  ,, ;  ,,,,,,
,Qu,,16/7/2017,19:30,"Esplanade – Theatres on the Bay, Outdoor Theatre","1 Esplanade Drive, Singapore 38981",1.290205,103.855567,,Rock,Concert,Qu;  ;  ;  ;  ;  ;  ;  ;  ,,Esplanade – Theatres on the Bay;  ,,,,Ebenex,,Esplanade Presents | Baybeats
,Sanctuary,,1/11/2017,20:00- ,"The Necessary Stage, The Necessary Stage Black Box","278 Marine Parade Rd,  , Marine Parade Community Building, Singapore 449282",1.304972,103.909668, ,Play,Theatre,HANCHU-YUEI; The Necessary Stage; Audrey Luo; Ellison Tan Yuyang; Fumi Kumakawa; Mikie Tanaka; Kan Fukuhara; Sachiro Nomoto; Yazid Jalil, ;  ;  ,The Necessary Stage; Theater Collective HANCHU-YUEI,, ;  ;  ;  ,, ;  ;  ;  ;  ;  ;  ;  ;  ;  ,,Esplanade Presents | Mosaic Music Weekend
,Sanctuary,,2/11/2017,20:00- ,"The Necessary Stage, The Necessary Stage Black Box","278 Marine Parade Rd,  , Marine Parade Community Building, Singapore 449282",1.304972,103.909668, ,Play,Theatre,HANCHU-YUEI; The Necessary Stage; Audrey Luo; Ellison Tan Yuyang; Fumi Kumakawa; Mikie Tanaka; Kan Fukuhara; Sachiro Nomoto; Yazid Jalil, ;  ;  ,The Necessary Stage; Theater Collective HANCHU-YUEI,, ;  ;  ;  ,, ;  ;  ;  ;  ;  ;  ;  ;  ;  ,, 
,Sanctuary,,3/11/2017,20:00- ,"The Necessary Stage, The Necessary Stage Black Box","278 Marine Parade Rd,  , Marine Parade Community Building, Singapore 449282",1.304972,103.909668, ,Play,Theatre,HANCHU-YUEI; The Necessary Stage; Audrey Luo; Ellison Tan Yuyang; Fumi Kumakawa; Mikie Tanaka; Kan Fukuhara; Sachiro Nomoto; Yazid Jalil, ;  ;  ,The Necessary Stage; Theater Collective HANCHU-YUEI,, ;  ;  ;  ,, ;  ;  ;  ;  ;  ;  ;  ;  ;  ,, 
,Sanctuary,,4/11/2017,20:00- ,"The Necessary Stage, The Necessary Stage Black Box","278 Marine Parade Rd,  , Marine Parade Community Building, Singapore 449282",1.304972,103.909668, ,Play,Theatre,HANCHU-YUEI; The Necessary Stage; Audrey Luo; Ellison Tan Yuyang; Fumi Kumakawa; Mikie Tanaka; Kan Fukuhara; Sachiro Nomoto; Yazid Jalil, ;  ;  ,The Necessary Stage; Theater Collective HANCHU-YUEI,, ;  ;  ;  ,, ;  ;  ;  ;  ;  ;  ;  ;  ;  ,, 
,Sanctuary,,8/11/2017,20:00- ,"The Necessary Stage, The Necessary Stage Black Box","278 Marine Parade Rd,  , Marine Parade Community Building, Singapore 449282",1.304972,103.909668, ,Play,Theatre,HANCHU-YUEI; The Necessary Stage; Audrey Luo; Ellison Tan Yuyang; Fumi Kumakawa; Mikie Tanaka; Kan Fukuhara; Sachiro Nomoto; Yazid Jalil, ;  ;  ,The Necessary Stage; Theater Collective HANCHU-YUEI,, ;  ;  ;  ,, ;  ;  ;  ;  ;  ;  ;  ;  ;  ,, 
,Sanctuary,,9/11/2017,20:00- ,"The Necessary Stage, The Necessary Stage Black Box","278 Marine Parade Rd,  , Marine Parade Community Building, Singapore 449282",1.304972,103.909668, ,Play,Theatre,HANCHU-YUEI; The Necessary Stage; Audrey Luo; Ellison Tan Yuyang; Fumi Kumakawa; Mikie Tanaka; Kan Fukuhara; Sachiro Nomoto; Yazid Jalil, ;  ;  ,The Necessary Stage; Theater Collective HANCHU-YUEI,, ;  ;  ;  ,, ;  ;  ;  ;  ;  ;  ;  ;  ;  ,, 
,Sanctuary,,10/11/2017,20:00- ,"The Necessary Stage, The Necessary Stage Black Box","278 Marine Parade Rd,  , Marine Parade Community Building, Singapore 449282",1.304972,103.909668, ,Play,Theatre,HANCHU-YUEI; The Necessary Stage; Audrey Luo; Ellison Tan Yuyang; Fumi Kumakawa; Mikie Tanaka; Kan Fukuhara; Sachiro Nomoto; Yazid Jalil, ;  ;  ,The Necessary Stage; Theater Collective HANCHU-YUEI,, ;  ;  ;  ,, ;  ;  ;  ;  ;  ;  ;  ;  ;  ,, 
,Sanctuary,,11/11/2017,20:00- ,"The Necessary Stage, The Necessary Stage Black Box","278 Marine Parade Rd,  , Marine Parade Community Building, Singapore 449282",1.304972,103.909668, ,Play,Theatre,HANCHU-YUEI; The Necessary Stage; Audrey Luo; Ellison Tan Yuyang; Fumi Kumakawa; Mikie Tanaka; Kan Fukuhara; Sachiro Nomoto; Yazid Jalil, ;  ;  ,The Necessary Stage; Theater Collective HANCHU-YUEI,, ;  ;  ;  ,, ;  ;  ;  ;  ;  ;  ;  ;  ;  ,, 
,Sanctuary,,4/11/2017,15:00- ,"The Necessary Stage, The Necessary Stage Black Box","278 Marine Parade Rd,  , Marine Parade Community Building, Singapore 449282",1.304972,103.909668, ,Play,Theatre,HANCHU-YUEI; The Necessary Stage; Audrey Luo; Ellison Tan Yuyang; Fumi Kumakawa; Mikie Tanaka; Kan Fukuhara; Sachiro Nomoto; Yazid Jalil, ;  ;  ,The Necessary Stage; Theater Collective HANCHU-YUEI,, ;  ;  ;  ,, ;  ;  ;  ;  ;  ;  ;  ;  ;  ,, 
,Sanctuary,,5/11/2017,15:00- ,"The Necessary Stage, The Necessary Stage Black Box","278 Marine Parade Rd,  , Marine Parade Community Building, Singapore 449282",1.304972,103.909668, ,Play,Theatre,HANCHU-YUEI; The Necessary Stage; Audrey Luo; Ellison Tan Yuyang; Fumi Kumakawa; Mikie Tanaka; Kan Fukuhara; Sachiro Nomoto; Yazid Jalil, ;  ;  ,The Necessary Stage; Theater Collective HANCHU-YUEI,, ;  ;  ;  ,, ;  ;  ;  ;  ;  ;  ;  ;  ;  ,, 
,Sanctuary,,11/11/2017,15:00- ,"The Necessary Stage, The Necessary Stage Black Box","278 Marine Parade Rd,  , Marine Parade Community Building, Singapore 449282",1.304972,103.909668, ,Play,Theatre,HANCHU-YUEI; The Necessary Stage; Audrey Luo; Ellison Tan Yuyang; Fumi Kumakawa; Mikie Tanaka; Kan Fukuhara; Sachiro Nomoto; Yazid Jalil, ;  ;  ,The Necessary Stage; Theater Collective HANCHU-YUEI,, ;  ;  ;  ,, ;  ;  ;  ;  ;  ;  ;  ;  ;  ,, 
,Sanctuary,,12/11/2017,15:00- ,"The Necessary Stage, The Necessary Stage Black Box","278 Marine Parade Rd,  , Marine Parade Community Building, Singapore 449282",1.304972,103.909668, ,Play,Theatre,HANCHU-YUEI; The Necessary Stage; Audrey Luo; Ellison Tan Yuyang; Fumi Kumakawa; Mikie Tanaka; Kan Fukuhara; Sachiro Nomoto; Yazid Jalil, ;  ;  ,The Necessary Stage; Theater Collective HANCHU-YUEI,, ;  ;  ;  ,, ;  ;  ;  ;  ;  ;  ;  ;  ;  ,, 
,Japanese Jazz Party: Horns Riot,,20/7/2018,20:00-22:20,"Esplanade – Theatres on the Bay, Annexe Studio","1 Esplanade Drive, Singapore 38981",1.290205,103.855567,,Jazz,Concert,TRI4TH; CALMERA;  ;  ;  ;  ;  ;  ;  ,,The Esplanade Co Ltd (TECL),,The Esplanade Co Ltd (TECL),,,,
